total_trades,win_rate,avg_return_per_trade,median_return_per_trade,profit_factor,portfolio_total_return,portfolio_cagr,portfolio_max_drawdown,portfolio_sharpe_annualized,pct_stopped_out,pct_target_hit,pct_time_exit,stop_pct,target_pct
13218,0.506430624905432,0.0005537714639462825,0.0008328706434775901,1.0337144493786672,0.15168568435331165,0.046440380093232925,-0.15981916796254236,0.3960631619786959,0.22726584959903162,0.22605537902859735,0.546678771372371,0.05,0.05
12954,0.48371159487417015,0.0010105821566604879,-0.0013501954617239353,1.0589789804438028,0.21413628563390952,0.06435367103715395,-0.19074123287155265,0.4997505353243688,0.23676084607071174,0.06237455612166126,0.700864597807627,0.05,0.1
12913,0.48160768218074806,0.0012488388776709727,-0.001514978741427253,1.072683643082085,0.26084864663273777,0.07734785258024535,-0.18583039417776848,0.5730145724526452,0.23720281886470998,0.023929373499574073,0.7388678076357159,0.05,0.15
12803,0.5335468249628993,0.001094822901348582,0.0034364261168384758,1.0658587387505176,0.1258570615985115,0.03883886597068398,-0.2360049693677968,0.3203772362691714,0.05608060610794345,0.2346325080059361,0.7092868858861204,0.1,0.05
12559,0.5099928338243491,0.0014800374543325588,0.000998253057149956,1.0847493063122855,0.25410811577556536,0.07549320688200778,-0.20869995551005083,0.5413545151042418,0.05932000955490087,0.06576956764073573,0.8749104228043634,0.1,0.1
12513,0.5074722288819628,0.0016650322012863442,0.0008327550312283716,1.0950617099179212,0.29249380904408295,0.08596616522748124,-0.20867976922096498,0.5942783646988044,0.05905857907775913,0.025333653000879086,0.9156077679213618,0.1,0.15
12730,0.5373919874312647,0.0017535777484816114,0.003911037485680224,1.108954270531944,0.4079304111059505,0.11624169207781865,-0.18256266899392082,0.7812959233634584,0.015318146111547526,0.23597800471327574,0.7487038491751767,0.15,0.05
12496,0.5134443021766966,0.002008266506205832,0.0013582236974786221,1.118211588456135,0.39649236928265874,0.1133187911861675,-0.2014550885471722,0.7360760103746335,0.016725352112676055,0.06514084507042253,0.9181338028169014,0.15,0.1
12452,0.5106007067137809,0.0021427359452916564,0.001010641218250008,1.1256490892161723,0.42569497800116163,0.12074950665933959,-0.20193999457587242,0.7659159347738106,0.016302601991647927,0.025056215868936717,0.9586411821394154,0.15,0.15
12716,0.5380622837370242,0.0019200689421857277,0.003956449096560233,1.120402866738289,0.4547448107041583,0.12803956894214874,-0.18736071231108808,0.8334930460807134,0.005976722239698019,0.2362378106322743,0.7577854671280276,0.2,0.05
12483,0.5139790114555796,0.002141290294804527,0.001413427561837377,1.1270591721312915,0.42336497902682924,0.12016044180691954,-0.20512818357545903,0.7652888918108541,0.006488824801730353,0.06488824801730353,0.9286229271809661,0.2,0.1
12439,0.511053943243026,0.002240314098961066,0.0010623464577386166,1.1324476296467145,0.4501044597585715,0.12688174260194107,-0.20481601637797464,0.790983329640015,0.006270600530589276,0.024600048235388697,0.969129351234022,0.2,0.15
