date,stop5_target5,stop5_target10,stop5_target15,stop10_target5,stop10_target10,stop10_target15,stop15_target5,stop15_target10,stop15_target15,stop20_target5,stop20_target10,stop20_target15
2023-09-17,0.9988662177548108,0.991363309181394,0.991363309181394,0.9996369851711031,0.992117829454509,0.992117829454509,0.9996369851711031,0.992117829454509,0.992117829454509,0.9996369851711031,0.9912566920782787,0.9912566920782787
2023-09-24,0.9732512149874699,0.9648468720900086,0.9648468720900086,0.9733028398125733,0.964976772587551,0.964976772587551,0.9725816101972546,0.9642753462345185,0.9642753462345185,0.9728294357258994,0.9636760686769071,0.9636760686769071
2023-10-01,0.972896544544888,0.9638760943760518,0.963595199744674,0.9728994532157323,0.9641820419283366,0.9639206049068196,0.9715770104166549,0.9628644690775918,0.9626081601931241,0.9710283384794997,0.9615006846401454,0.9612563886197572
2023-10-08,0.9677173230799099,0.9618269700022842,0.9611457403558654,0.9683307540507375,0.9624208160894053,0.9617911455964815,0.9677095429961616,0.961760970341193,0.961143779126767,0.9671630551070218,0.960398748880107,0.959794063954727
2023-10-15,0.9807191589604346,0.9714928784878217,0.97214226746714,0.975026493804638,0.9695024818072681,0.9702821315456507,0.9763357592302928,0.970657377601097,0.9713651488531916,0.975784399917971,0.9692825554239601,0.9700010800140955
2023-10-22,0.9631275320251749,0.9533398903710258,0.9533218290019096,0.9543608385764293,0.9493765306379244,0.9494733055347946,0.9548570433403638,0.9505238124588214,0.9505578112153226,0.9543178135540894,0.9491775071121349,0.9492229617083487
2023-10-29,0.9380143154709362,0.9266719246198055,0.9266543684849483,0.9306938899417252,0.9293710875099064,0.9291634096232996,0.9327645986003483,0.931380134708701,0.93112582011295,0.9316624667066621,0.9294870984974095,0.9292445626668603
2023-11-05,0.9722769756813482,0.9655043873091372,0.9654141248598576,0.9643012212832313,0.9670901105557497,0.9669639537901026,0.9709658560717368,0.9733196020240364,0.9731443605592675,0.9698185865041922,0.9713413235713104,0.9711782083649267
2023-11-12,0.982858962093751,0.9764597776030617,0.9761346617392631,0.9746140009439704,0.9798389563551871,0.9795655391011934,0.9813499110856294,0.9861505692569074,0.9858264896412545,0.9801903719720129,0.9841462117794174,0.9838347143256851
2023-11-19,0.9873907524439659,0.9811013671491595,0.9804264403572996,0.9783322446044042,0.9826444460491576,0.9821010715857834,0.9850938528738934,0.9889741304562342,0.9883782281302873,0.9839298900099983,0.9869640340721518,0.9863812972525703
2023-11-26,0.9964490852101554,0.9901020010309366,0.9894208824538505,0.9880338037908767,0.9923887668616228,0.9918400040656593,0.9948624630475781,0.9987812191149454,0.9981794075677536,0.9936869578322199,0.9967511897590652,0.9961626742730068
2023-12-03,1.0013601505880785,0.9947041569818345,0.9940198724542607,0.9933637305104221,0.9972958072244688,0.9967443309745854,0.9992298606542475,1.0025009158491993,1.0018968630139218,0.9980491950284257,1.0004633261853948,0.999872618928917
2023-12-10,0.9856559851094326,0.9832542478434831,0.9832037897194116,0.9681716736390449,0.976661091048664,0.9767103359978575,0.9736163835722043,0.9814860210083826,0.9814868233547465,0.9724659822060281,0.9794911442556951,0.97950381595146
2023-12-17,1.0077808960192562,1.0017322724312476,1.0014643586013234,0.9892674533376022,0.9942700996796306,0.9940505053494397,0.9948307996700694,0.9991820221837263,0.9989117927710167,0.9936553318673857,0.997151178192989,0.9968935797566796
2023-12-24,1.024433640149423,1.0200832397222663,1.0208975063007562,1.0059799538207386,1.0120356610359649,1.0128425775761283,1.0116372862920961,1.017035349490834,1.017795765423136,1.0104419603548362,1.0149682184956557,1.0157393990106263
2023-12-31,1.0243336328755384,1.0196303169360939,1.0209901521416347,1.0061980975502163,1.0118186277333276,1.0131611421742723,1.0118566567971172,1.0168172439938665,1.0181158879240884,1.0106610716570203,1.0147505562995365,1.0160588747323513
2024-01-07,1.0154381891337534,1.010588989102706,1.0118803199496305,0.9888489430943116,0.994239099531741,0.9955064533359249,0.9946334009203915,0.9989390182863341,1.000163238211698,0.9934581663592547,0.9969086682026066,0.9981424967624247
2024-01-14,1.032745411178067,1.031031835317877,1.0350485719225244,1.0050459886703398,1.0132669352519528,1.0171129375426082,1.008945829548046,1.0142470097793947,1.0174291618550193,1.009661034539804,1.0145251694349107,1.0152610587449176
2024-01-21,1.0362174625056284,1.0334942750114706,1.0380001798715168,1.0077326732833407,1.0159207052954677,1.0195495861854387,1.0128494074667305,1.017018552014841,1.0199898162724805,1.0137905795786746,1.0172316528658076,1.017740694882694
2024-01-28,1.0436575101316465,1.039836186504194,1.0445883766656194,1.0156753344489904,1.0231747670561167,1.0251997584793597,1.0228908437984041,1.0252728270465858,1.0266411909153006,1.0230744101947555,1.0241577030647313,1.0248144452922534
2024-02-04,1.0607417668238257,1.0535654002952497,1.0569053995037316,1.0311124459240726,1.0346018140972837,1.0355094547391641,1.0386451934284537,1.037079035420247,1.0371383325786496,1.0391375538830163,1.0357514906834535,1.0347782536524177
2024-02-11,1.065243391323853,1.0615677231901781,1.0642280216965896,1.0383449567310048,1.0439983274581122,1.0450509832204322,1.0489425726632242,1.046544208382629,1.0457222613731967,1.0483999106828907,1.0442975768597618,1.0434765193821918
2024-02-18,1.0724560781975636,1.0707508580194414,1.0730110866273035,1.0459932354574142,1.053428030542156,1.0539923239460798,1.056384070887163,1.05574928088712,1.054427558255874,1.055837559107738,1.05348288870255,1.0521631211949871
2024-02-25,1.0834901602831586,1.0792284464332964,1.0834790687733984,1.0567314787892674,1.0622632601498596,1.0646904249334372,1.0659902708168891,1.0634365956760943,1.0639573882957718,1.0654345375600471,1.0611547723919645,1.0616502437477096
2024-03-03,1.0933633543806205,1.0912503712684771,1.0943808668474886,1.0672336811344934,1.075144872966192,1.07692744289782,1.077685457763469,1.0773290989161013,1.0771789617281373,1.0771236274487934,1.0750174663913485,1.0748431467827484
2024-03-10,1.0976902191755964,1.093285220492302,1.0997870071429074,1.0713766289105675,1.0851920487055569,1.0869803040044699,1.0830670787511258,1.0784079197836,1.0782761583953624,1.0827273973379312,1.0764000252105919,1.0762441037050299
2024-03-17,1.0920784346406012,1.0882487934750762,1.095903870914544,1.0636879065987297,1.0779977370054337,1.0808989376373475,1.075435070697999,1.0707924493381715,1.0711203653273724,1.0750251022769344,1.068730905901782,1.069033948626999
2024-03-24,1.1176041977986588,1.1146907934691033,1.1211263149735184,1.0903210582597644,1.106610142210029,1.1082006650645764,1.1027837592367322,1.0996248263022674,1.0985843730733489,1.1023633651758833,1.0975077733247687,1.0964444597107186
2024-03-31,1.12626011512467,1.1240525695784993,1.1306782487510336,1.0987652813111026,1.1141842642811743,1.115940914108229,1.1115467869847735,1.1071511378271572,1.1062574569390378,1.1111230523553048,1.1050195948164745,1.1041025973100131
2024-04-07,1.1157837536143038,1.1120259839565005,1.1201505194804333,1.0899088788922442,1.103804389450247,1.1065247526151876,1.1033986097741635,1.0974548468191179,1.0975259976563587,1.102977981325102,1.095341971595173,1.0953881458847663
2024-04-14,1.0829592446442817,1.0793677113834477,1.087196658711339,1.0585528596902054,1.0709102804442827,1.0729708982506436,1.0716275739659638,1.06455261887101,1.0638869133363285,1.0712190570071642,1.0625030886698201,1.0618145865510797
2024-04-21,1.0539974001545573,1.048993167793136,1.0568023836363272,1.026811624612127,1.0376697909602886,1.040334296206933,1.039434535616529,1.0324645223142852,1.0319999000651199,1.0390016783354623,1.0297819283296394,1.0292953006602765
2024-04-28,1.0878991977567927,1.0892858573549458,1.0984240085675978,1.0631015127586851,1.0785861364981597,1.0823608765653787,1.076311514433467,1.0733408203393084,1.0738547646837806,1.0758633002749467,1.0705520197888907,1.0710404747238018
2024-05-05,1.0901447636428532,1.0951881810829687,1.1031564402347593,1.0660726236832272,1.0851722162953668,1.0874344029226073,1.078284103154179,1.0783026272085232,1.0779810191887753,1.077497041869959,1.0751786018640843,1.0748505435025675
2024-05-12,1.1132165802340457,1.1188050908855063,1.1261595307494567,1.089419885706307,1.1089065276589039,1.1098474933857558,1.1023762264447243,1.1023347518536335,1.1006248402502283,1.1019062268074387,1.0994687673635608,1.0977402183828049
2024-05-19,1.1301522112639133,1.1347810247708912,1.1406260053424786,1.1055983824133147,1.1244247723391674,1.1237882620386366,1.1160762754994573,1.1149230502625957,1.1116121807228643,1.1160620935905992,1.1124221038247808,1.109095339295194
2024-05-26,1.126786305490115,1.134510038615519,1.140827719300133,1.1028546720143755,1.1264022132624332,1.1261898126816479,1.1130490608257253,1.115065053733075,1.1121910725247102,1.1109431107662873,1.1105737212842852,1.1076926932433928
2024-06-02,1.1141528579938191,1.123622197653032,1.130600610874648,1.0937259979469993,1.1192012283944115,1.1196381998947507,1.1039702732672805,1.1060727675295452,1.103859070910401,1.102136713523193,1.101872748975548,1.0996488327315224
2024-06-09,1.0950203587629193,1.1047470164408029,1.111837429698185,1.0753720588421953,1.0994065783483373,1.1009684528587809,1.0867193094939387,1.0877231092582846,1.0862126300633344,1.0837602223908585,1.0823925246628547,1.0808703764169907
2024-06-16,1.0845861097266478,1.0893865724928178,1.0958801061671721,1.0699127109613769,1.0898506775364516,1.0909137253522865,1.0818390393770538,1.0788573668517807,1.0764256366429468,1.0788932410268615,1.0735702304367716,1.071131517772281
2024-06-23,1.0880544852037881,1.0916703094495726,1.0979878551859916,1.0762290605225364,1.0949992901722139,1.0969599679404698,1.0882589261543754,1.084000393225332,1.0824379899051098,1.0844998412858995,1.0779095431915495,1.076337406243312
2024-06-30,1.0908110876920645,1.0898208505366214,1.0962740229381123,1.0778495701206292,1.0931597352693148,1.0959558867758081,1.089295290729219,1.0818893538030774,1.080737585842132,1.0849546299691124,1.0752661464904123,1.074097790082525
2024-07-07,1.0947732218878523,1.0942928433780879,1.1006210971392227,1.0826018669054909,1.0983294208866028,1.1007057084243144,1.093427189939961,1.0869651050490967,1.0853846531278977,1.0890700642479656,1.08031082454706,1.0787163068875238
2024-07-14,1.1197802876196628,1.1181411403257209,1.125807095152083,1.1057066000966793,1.1214073817542363,1.1250310284367793,1.1170191455641747,1.1100391088644714,1.1096193428585752,1.1116888055397394,1.1024114661604922,1.101982846499445
2024-07-21,1.0816646723162815,1.0865057437616659,1.0853072367885033,1.0593190431398503,1.0804818120545345,1.0785023776133373,1.0704935491185354,1.0630312233379704,1.0582003896681074,1.0656662873727698,1.0594275063373704,1.0544255572659753
2024-07-28,1.0697824185416847,1.0782109258257464,1.079863878578748,1.0474469006060845,1.0724115984861258,1.0728656867912276,1.0617703084281218,1.0583712458842782,1.0558581058499197,1.056848750485452,1.0549127242441274,1.0522357891898857
2024-08-04,1.0358851732868493,1.0394156567708914,1.0422327936416829,1.0026194543647293,1.0238981658197999,1.0254786636630537,1.0115787111453665,1.0058354099906406,1.0046020730449348,1.0033264791736722,0.9990897891269281,0.997715804350653
2024-08-11,1.0366686227182695,1.0363599286056493,1.0391687835110641,0.9999673594184065,1.0189289781637356,1.0205018055270185,1.0132320782344606,1.0057340708049542,1.0045008581195007,1.0059490814111556,1.0000089958952423,0.9986337469922392
2024-08-18,1.0620850936334398,1.0617581775603353,1.0650212219661779,1.0244840089530811,1.043900043852627,1.0458898469494915,1.038073944846799,1.0303817666560293,1.0294908280114963,1.030612387514496,1.0245163863622249,1.0234777549079574
2024-08-25,1.091616268124986,1.0895307915294452,1.0928791880188062,1.0531005663762756,1.0729707126447487,1.0755929817184322,1.067070105248158,1.0590759766470081,1.0587282327888756,1.0594001268160615,1.053047256454077,1.052544389196178
2024-09-01,1.0979802434496255,1.0965507249224982,1.099698446609166,1.0605472179911466,1.080845579142181,1.083319542606473,1.0746155378270899,1.0668488653460626,1.066333645146124,1.0668913236846531,1.0607758984965263,1.0601053796904605
2024-09-08,1.062287999995357,1.0649314934984042,1.0673066438977938,1.0262310648760173,1.0493019049063572,1.0476034961382172,1.043939991245463,1.0355456853886924,1.032933177812036,1.0367526067378348,1.0294315527764981,1.0266779540470725
2024-09-15,1.0978321874980412,1.103090602422952,1.1070037241995558,1.0649081770245734,1.0907865480153272,1.0907060987198975,1.0837401148871877,1.0799494773776632,1.079557008169579,1.076278711954685,1.0735731731620954,1.0730194403983127
2024-09-22,1.1096669760192537,1.1177944771894983,1.1221674063832716,1.0761831252444125,1.1052974459850577,1.1059095572184745,1.0941130371971304,1.0929370305275072,1.093154189278104,1.0870740083803763,1.0869349963043136,1.08697041979389
2024-09-29,1.1066878875455286,1.1143326471713226,1.1185177836936997,1.072996155154392,1.100651010977914,1.1010980001874446,1.0907286549869304,1.0882211975053822,1.088260564795422,1.0851396769328885,1.0836446368971726,1.0835069330181821
2024-10-06,1.0963758799629817,1.1057057313913912,1.108741572224599,1.065163878002751,1.0937350074725714,1.0930981071506618,1.0840027205412373,1.083047365552379,1.0810723606910906,1.0786030045190032,1.0790696374990747,1.0757986238839294
2024-10-13,1.1039632555211278,1.114712923236414,1.1175175543531612,1.0744198485787604,1.1042632175923144,1.1032847275892865,1.092709464013123,1.0930281187217314,1.0908035744577114,1.0876994163639782,1.0890449030067355,1.085513523449419
2024-10-20,1.121259041672346,1.1364897268283625,1.1405322563719547,1.0920962641218146,1.1267483710888546,1.127109882800685,1.1117312325801072,1.1155151687566105,1.1149518888015097,1.1066883891424133,1.1114500056794663,1.1095447261356888
