symbol,close,natr50,hist_trades,win_rate,avg_win_pct,avg_loss_pct,expectancy_pct,profit_factor
NE,44.18,3.649583253267447,5,0.8,6.3649146821053675,-7.882352941176469,3.515461157449,3.2299567043519777
V,369.93,1.8158129685561453,4,0.75,3.9758243981805172,-1.01439150482045,2.728270422430275,11.758254222222362
RPRX,58.93,2.287833088191749,12,0.75,2.899270392693926,-1.0412494969472166,1.91414042028364,8.353244062621323
TRGP,285.07,2.6023265259462844,15,0.7333333333333333,3.3618356070548456,-5.486299056592269,1.0023330300822813,1.6851155622462997
FIVE,236.8,3.790070884583564,11,0.7272727272727273,5.176573692186244,-3.9122366546351297,2.6978072339622328,3.528466637145212
KO,88.06,1.672392334230915,6,0.6666666666666666,4.684986511906428,-1.389077235920255,2.6602985959642,6.745465825451603
HNGE,94.72,4.113036298787972,6,0.6666666666666666,16.586667660292395,-7.09228792188873,8.693682466232021,4.677381359293502
ET,21.05,1.6372112807427124,12,0.6666666666666666,3.3042389661127776,-1.7842719323809924,1.608068666614854,3.7037392183863926
YPF,54.48,3.369545267818932,12,0.6666666666666666,12.23108569673013,-9.738731906570159,4.9078131622967005,2.5118435981338645
NOV,20.53,3.205951406127362,6,0.6666666666666666,6.3004319620445965,-8.840866647112444,1.253332425658916,1.4252973636023363
SJM,123.75,2.5153505393026614,3,0.6666666666666666,1.2743681644814149,-1.9479976590586,0.20024622330141006,1.3083877781426834
WES,47.16,2.1379992601945714,13,0.6153846153846154,3.1823957221273305,-1.21806007174663,1.4899127244834993,4.18028081989612
SU,69.49,2.517103552618662,10,0.6,2.9132877948877605,-4.350835825709851,0.007638346648716002,1.0043890110743663
THC,261.9,3.251164124547776,14,0.5714285714285714,11.020798200717255,-4.261912029052575,4.471065245101613,3.447841602733154
IMO,130.28,2.5868614875187688,16,0.5625,3.7702672919756335,-5.330452155111316,-0.21129746612490677,0.9093949963712141
IFF,84.91,2.5641318863307694,8,0.5,5.539680871378033,-3.645070435194945,0.9473052180915437,1.5197733404242875
SKM,35.54,4.131321134220537,6,0.5,11.949489707663043,-9.297912743447446,1.3257884821077977,1.2851798072727938
VRTX,516.34,2.496691741684052,8,0.5,3.2475682173201674,-3.5879926119174446,-0.1702121972986386,0.9051212108222952
KSPI,97.43,3.1343600383581256,4,0.5,3.2411442035121203,-5.19967347885036,-0.97926463766912,0.6233361030640586
APA,45.46,3.2856042409530897,4,0.5,2.3920389792994547,-4.17459530002222,-0.8912781603613824,0.57299901125427
COP,133.19,2.489846233674565,4,0.5,1.6459062455959,-4.750097880173605,-1.5520958172888526,0.34649943793068655
UGI,38.16,2.150010815047486,11,0.45454545454545453,4.125243998149846,-2.625358148231285,0.4430973728510472,1.30942261500875
LYB,64.25,3.6319292819304745,7,0.42857142857142855,3.398173575734526,-4.234517165276645,-0.9633639905575715,0.6018703153927091
SHEL,95.82,1.6647768675428225,7,0.42857142857142855,0.94024390709753,-2.2348014656731725,-0.8740677344857286,0.3155461194897376
EMBJ,74.55,3.0162972138118103,22,0.4090909090909091,6.338738213958008,-5.062819584610923,-0.39854593974181557,0.8667812770549468
LH,322.73,2.340474219927431,10,0.4,1.748963944530985,-3.7071576400557493,-1.524709006221055,0.3145202001723138
NWSA,30.18,2.3563774699336766,11,0.36363636363636365,1.9870493403382323,-3.5924801372339714,-1.5635603272077154,0.3160648695421336
CNH,13.55,3.6227041590939297,3,0.3333333333333333,8.00627943485086,-2.36863714426346,1.08966838210798,1.690060348466851
PFE,27.64,1.9807574124531324,3,0.3333333333333333,3.56143949282117,-1.732782737136435,0.031958006182766674,1.0276647546439492
OVV,62.99,3.005306276593896,6,0.3333333333333333,6.176191177988105,-6.512771903139555,-2.283117542763668,0.4741599483171522
CVX,211.57,2.029242256616825,6,0.3333333333333333,2.02748461203968,-4.796254919341025,-2.5216750755474564,0.21136122309343847
DG,124.95,3.29462027192555,3,0.3333333333333333,1.46848868039974,-9.57147291117817,-5.891485713985533,0.07671173987677206
NWS,33.37,2.4418101958146496,13,0.3076923076923077,5.009580487664513,-2.336530352303628,-0.07618855539035385,0.9529001900380434
DVN,48.72,2.8612529858759546,4,0.25,7.87489528064786,-5.089218053560023,-1.8481897200080526,0.5157894721592965
XOM,163.27,2.289094920208688,8,0.25,2.3891085868196402,-3.7934407158708714,-2.2478033901982437,0.209933300290698
WTRG,41.62,2.0750859445029626,4,0.25,1.43737166324435,-3.6111780526957826,-2.3490406237107497,0.13267800168159682
BP,45.42,2.278728978904513,9,0.2222222222222222,7.930547209799594,-3.7297892914498676,-1.13860340228332,0.607506337305856
CHRD,146.27,3.3412138778941247,9,0.2222222222222222,1.9917940402256498,-3.119397561562313,-1.9835772056094325,0.18243394766521004
SLB,52.08,3.3260365771406515,5,0.2,2.07122093023255,-1.5055841810782375,-0.7902231588160801,0.34392313566107385
EQNR,44.33,2.634251442728864,3,0.0,0.0,-3.2937806687606597,-3.2937806687606597,0.0
EOG,145.47,2.631113107673215,3,0.0,0.0,-4.192489349098993,-4.192489349098993,0.0
DXCM,87.93,2.9803906410304783,2,0.0,0.0,-4.584444519076316,-4.584444519076316,0.0
BDX,181.38,2.3316855840558577,0,,,,,
