symbol,close,natr50,pgo20,pgo50,rsi7_prior_day,hist_trades,hist_win_rate,hist_avg_return_pct,hist_expectancy_pct,hist_profit_factor,low_sample
STT,191.3,2.1208515693499685,0.0841731677730806,1.3538930351462917,52.51564951798329,19,0.8947368421052632,3.9220214320300046,3.9220214320300046,37.082003319641196,False
V,367.21,1.865490124788904,-0.8621257851890024,0.3462347156370965,35.52518816343336,4,0.75,2.728270422430275,2.728270422430275,11.758254222222362,False
LNG,277.84,2.7817400239392853,-0.3450754779943898,1.2608965226364277,37.61206822084716,16,0.6875,0.9341994340971611,0.9341994340971611,1.583079635572317,False
BNY,162.59,1.8470614182135427,0.1410846407341201,1.3622421428705045,51.05073335121316,24,0.6666666666666666,2.1676920911779103,2.1676920911779103,5.962206984228753,False
PRU,118.48,2.0567645310842138,-1.0280173353527535,-0.4980190413569367,37.08428728785656,9,0.6666666666666666,1.7474183423842378,1.7474183423842378,3.9884569385730724,False
GSAT,81.97,1.6473807556138482,-0.1599122240468137,0.4392909122159362,42.29896331545965,12,0.6666666666666666,3.703694662895262,3.703694662895262,2.158793765647801,False
VCTR,111.06,2.8480271328601314,-1.3242410655951444,1.7905994616596412,38.392912534642406,18,0.6666666666666666,1.7584497117653377,1.7584497117653377,2.0895983406541965,False
BNS,92.84,1.6572381548931692,0.8738680027458816,2.3754372410993985,50.11315040236889,3,0.6666666666666666,0.09008391426481009,0.09008391426481009,1.1302789651405756,False
SF,79.69,2.423015387759046,-1.005948059494695,-0.3311407536772059,46.07478566626672,16,0.625,1.4259942933860317,1.4259942933860317,2.311141929268642,False
BAC,62.56,1.799015499024547,-0.1178106908086545,0.5709644600618607,52.74742404203197,13,0.6153846153846154,-0.23929012141115455,-0.23929012141115455,0.8906063418311421,False
JPM,353.56,1.827066214836614,-0.5831297541357658,0.3505694690004203,44.68704966951368,14,0.5714285714285714,0.054831268296233665,0.054831268296233665,1.0292262926683386,False
DRI,207.53,2.6901531273676804,-1.9475154345493608,-0.3907664212303541,33.499132898801165,16,0.5625,0.46441989156773433,0.46441989156773433,1.2381199971325947,False
GRMN,272.2,2.608273139809552,-2.31915759472596,-0.3708597226952054,18.711186049792715,13,0.5384615384615384,-1.3330511578851778,-1.3330511578851778,0.49853168530091635,False
TECH,72.08,1.5072321287124646,-0.588229381784169,0.1400020171219755,44.50918112343322,2,0.5,0.041589499335614996,0.041589499335614996,2.5045001384662537,True
MTCH,41.82,2.7770898365430856,0.9073314023484038,2.0539376571754637,52.80439834194336,4,0.5,1.440358166186085,1.440358166186085,1.803825907564573,False
RGEN,164.68,4.174536015729163,-1.2297994633427858,1.0894265516819015,34.46939582530575,4,0.5,1.9154075018446322,1.9154075018446322,1.8027313937251241,False
PFG,114.96,2.0513070749294684,0.8508612102969026,0.9910173990686262,52.71196495009868,12,0.5,0.5856462266554968,0.5856462266554968,1.343918688013533,False
CBC,32.12,2.493893849273442,-0.262325465911275,-0.0994958165735953,42.60299497368247,6,0.5,0.1785151309524717,0.1785151309524717,1.15791449748442,False
AMZN,251.89,2.8031536840259474,-1.1277164241704996,-0.4335446880635142,35.769473949722524,16,0.5,0.2938721311938811,0.2938721311938811,1.1443725663494637,False
SSB,105.84,1.9185674000107007,-0.6792557381453861,0.2619900153847653,40.783225829133336,10,0.5,-0.6521664152449959,-0.6521664152449959,0.7600012981077187,False
AVY,168.77,2.728798428724459,-1.7475699804103253,-0.3620537836490495,30.003533096879774,8,0.5,-1.0018706101625485,-1.0018706101625485,0.5030835478242826,False
CFR,162.66,1.8905578889053656,-0.3765234526147681,-0.0296567864772119,44.55982766588771,11,0.45454545454545453,-0.9820558856204654,-0.9820558856204654,0.5310706649632728,False
CART,47.24,3.7625123456473486,-1.5806500136729211,-0.344208547037339,25.848793177676896,9,0.4444444444444444,1.471446692517528,1.471446692517528,1.7461087818981929,False
NTAP,183.6,3.8213978866683145,-0.9624054984491344,0.4272182207970912,42.861633148375375,9,0.4444444444444444,0.4245642828070921,0.4245642828070921,1.1678543277834394,False
SCHW,107.33,2.0797210191192343,-1.173742836035628,0.5874118860803007,35.33200711303141,7,0.42857142857142855,-0.1939560236451285,-0.1939560236451285,0.8865182193931535,False
LNC,43.56,2.851056043429438,-0.1194484269882293,0.5876384893101215,46.92131065854066,10,0.4,-0.09304307839684876,-0.09304307839684876,0.9519805458837888,False
PFE,27.65,2.0303397687073628,-0.5380912099665692,2.5978423876489734,42.2723246540488,3,0.3333333333333333,0.031958006182766674,0.031958006182766674,1.0276647546439492,False
MDLZ,62.47,2.248143498406496,-0.2279932113561699,0.5623692876312467,52.543358019904325,3,0.3333333333333333,-1.33223206931727,-1.33223206931727,0.5085212147185473,False
HALO,107.0,2.4817262914612432,0.1075478363882881,5.455992637229651,51.67089625474851,9,0.3333333333333333,-2.21172447094153,-2.21172447094153,0.3563376435076341,False
NWS,32.78,2.5256905874425724,-1.5148391135766006,0.3038935915051022,30.58171703009773,13,0.3076923076923077,-0.07618855539035385,-0.07618855539035385,0.9529001900380434,False
KMX,60.52,3.326640390022501,-0.3734685592353058,1.11827312099984,40.6483106159997,4,0.0,-5.52948979179392,-5.52948979179392,0.0,False
