symbol,signal_date,close,sma20,sma50,sma200,natr50,pgo20,pgo50,rsi7_prior_day,advol30_millions,atr1,atr20
HPE,2026-09-15,55.88,54.39450000000001,51.6462,34.3536,5.096007118107899,0.4303506977497941,1.4867704308570642,49.841000144689936,1230.060515752,2.3297000000000025,3.451835927691848
BVN,2026-09-15,33.24,34.5015,32.734,33.4197,4.692085138419711,-0.8616597912713434,0.3244319507487453,38.79773542282436,38.565609832999996,0.8999999999999986,1.464034892632865
SCCO,2026-09-15,189.39,203.3605,191.72859999999997,180.7502,4.511641031093231,-1.601227646298809,-0.2736934245133525,31.169342443916975,230.90277700166664,4.310000000000002,8.724868092486673
KGC,2026-09-15,28.04,30.563,26.9626,29.57625,4.360148375926828,-2.1222496530256203,0.8812470848156198,32.46474302464701,248.11587151999998,0.6389999999999993,1.188832801269654
WPM,2026-09-15,150.02,152.7175,130.8502,130.90785,3.691786664358127,-0.480913487373192,3.4612408769382306,45.43597965447757,334.533619814,3.1799999999999784,5.60911696349808
MHK,2026-09-15,128.97,130.621,124.8786,114.46495,3.2609590588210584,-0.3992795351495479,0.9728321052828431,50.455240271727575,122.69227748799999,2.0,4.134947711210988
SLB,2026-09-15,54.2,55.572500000000005,51.9472,49.6518,3.186310457540853,-0.7410543066793043,1.3044735031198245,30.250008209618073,642.2194932686667,1.3899999999999935,1.8520909839256354
KSPI,2026-09-15,98.76,103.89349999999999,95.8468,83.8817,3.1315498619494835,-1.5813634040091704,0.9419544212244332,41.55013484118103,71.07960779233333,2.450000000000003,3.246249399085129
ITT,2026-09-15,197.99,204.0375,201.789,195.2332,3.050276749477812,-1.0057687668420348,-0.6290523564089404,44.29257261524859,161.63591566966667,4.314999999999998,6.012813480963662
MT,2026-09-15,73.3,74.371,71.158,60.397,2.8773714927170824,-0.5242536198510976,1.015592664354961,36.02481926299637,97.17703000433333,1.1199999999999903,2.042904349051879
INCY,2026-09-15,121.74,125.78999999999999,121.8276,105.31154999999998,2.832543365724336,-1.1916493154311194,-0.025403540066483314,38.45327186595842,166.78810869733334,2.219999999999999,3.3986508845807313
SJM,2026-09-15,121.7,125.84499999999998,120.40799999999999,107.35950000000001,2.587279858730325,-1.279190456152682,0.41032551926606203,27.845484361427836,158.18389047600002,2.319999999999993,3.240330616964236
RIO,2026-09-15,97.26,102.2015,97.59960000000001,94.21905000000001,2.4311977493276067,-2.158533971756261,-0.1436194076969654,27.23205234531737,213.88838041833333,1.144999999999996,2.2892852577990275
MDLZ,2026-09-15,62.1,62.6605,61.830200000000005,59.282075000000006,2.227017635776914,-0.4265517621305121,0.19508626268801632,51.686354045109525,445.2206891256667,0.6850000000000023,1.3140257519988894
WTRG,2026-09-15,41.48,41.19,40.1858,39.075250000000004,2.1092815767210187,0.34855667464064455,1.479204053950697,55.283093802524064,89.56603437666668,0.5600000000000023,0.8320024291572777
SEIC,2026-09-15,105.82,108.957,104.1997,89.499375,1.9574431161517536,-1.5641626963854405,0.7822373066938773,27.676846856756285,68.06853821433334,1.4699999999999989,2.0055458471482317
ROKU,2026-09-15,156.62,156.75375000000003,150.3491,119.84512500000001,1.8944465088126436,-0.059748393664973067,2.1134905411909153,59.13307252438466,376.83533042500005,1.3049999999999784,2.238553905733371
V,2026-09-15,375.62,374.356,365.856,335.38875,1.7939759989929929,0.2047103778472864,1.4489801431387335,56.360980075798324,2272.8508109573336,3.5500000000000114,6.17457704534624
