symbol,close,natr50,pgo20,pgo50,rsi7_prior_day,hist_trades,hist_win_rate,hist_avg_return_pct,hist_profit_factor
JAN,31.07,2.6250926950687656,0.2892900763361361,0.8477025283784074,52.47645926333791,4,0.75,5.874821362544267,5.02823235104003
ILMN,208.21,3.6133777806770975,-0.4612467209652778,0.9989746839302291,44.12897033624781,10,0.7,7.640351698465561,13.289951927587353
PRU,119.5,2.0250386390108828,-0.4105114464111867,-0.2016594611924464,46.49885942673644,9,0.6666666666666666,1.7474183423842378,3.9884569385730724
INCY,122.19,2.8426274014814723,-1.065684929148677,0.1395747980850909,34.52022932638545,17,0.6470588235294118,5.149162180830571,4.930510356267813
CORT,111.8,3.7533291280735215,-0.948252212743078,1.2290579580365806,42.91956188844919,12,0.5833333333333334,3.411097848943143,2.1719878203862644
SYF,75.88,2.6979419701501053,-1.346310686876604,-0.4350335631260307,35.69942638532336,12,0.5833333333333334,1.5664507478821148,1.7673606636203631
GRMN,280.38,2.534067549359355,-0.7027717655053101,0.5403504507024323,54.8048840825492,13,0.5384615384615384,-1.3330511578851778,0.49853168530091635
KYMR,114.63,4.339447316050721,-0.9722833874571376,0.041091138941192,36.92372104171732,8,0.5,2.456417866645775,1.9220353994287507
OMF,63.2,2.43380115446651,-0.0272154959382918,0.5173706212107888,46.75178234217349,12,0.5,0.5426189030563834,1.3223893249415848
WDS,23.74,2.3621142632078658,0.2665145479299992,2.066816020884957,52.3288009750418,4,0.5,-0.16549196568725993,0.9151159218262003
SSB,106.11,1.905035822654737,-0.2649669258861151,0.2920699576141676,46.39295386784186,10,0.5,-0.6521664152449959,0.7600012981077187
AVY,170.92,2.6583170729436008,-1.1492738822859832,0.061273059514909,31.350805529330813,8,0.5,-1.0018706101625485,0.5030835478242826
MET,97.75,1.8754463323901365,0.875136998448682,1.3272612061113922,55.233175790125365,11,0.45454545454545453,1.2606453961547284,2.0953616975066693
CFR,163.39,1.8932323129901256,0.0631481492863787,0.1049993570081032,51.450241516113486,11,0.45454545454545453,-0.9820558856204654,0.5310706649632728
EAT,214.16,3.930279997839607,-1.950612040382326,-0.0089104454150556,24.606353813070683,9,0.4444444444444444,-0.09739461872035568,0.9709134418986282
SCHW,107.31,2.068918882541958,-1.0384854157160082,0.3853781767263228,40.88328723100821,7,0.42857142857142855,-0.1939560236451285,0.8865182193931535
LNC,44.04,2.8213487284790104,0.3707091218408741,0.7378541504623154,50.52953309786835,10,0.4,-0.09304307839684876,0.9519805458837888
EC,17.74,3.1921316418206405,0.6853397692129306,1.8418315151457163,59.707029934835,10,0.4,-1.3605840559952929,0.46669173749686604
TMO,613.62,2.485849000870428,-0.0317808608045892,2.185140188816713,49.883321342263415,5,0.4,-1.428043904494582,0.2812110220610645
ECL,275.51,2.153360675777036,-0.9785470164844018,-0.4577324010002418,42.14538027922139,6,0.3333333333333333,-1.37618002571148,0.3943065066816277
HALO,107.94,2.4332383040964736,0.1657389715802516,5.42731376804173,50.66273493714639,9,0.3333333333333333,-2.21172447094153,0.3563376435076341
GMAB,32.65,2.453203830050924,-0.9481669809452856,2.082472267798632,39.25036474509356,3,0.3333333333333333,-3.3944078811952965,0.2567523446924063
XYZ,79.49,3.5115023098125,-0.6299200610899134,-0.3710108293776517,40.008175944064064,10,0.3,-1.6087399618735867,0.5326320303410588
ZM,95.36,3.915775431969856,-1.211160661844406,-0.36485526302234,40.320863277247554,8,0.25,-2.524695089866522,0.2858637333678478
DXCM,84.68,3.0944797527565284,-1.4593614897414238,0.7619431551972166,23.233645413193955,2,0.0,-4.584444519076316,0.0
KMX,61.69,3.223674447374889,0.1622631148406461,1.517183643529541,50.49509254439764,4,0.0,-5.52948979179392,0.0
