symbol,close,natr50,pgo20,pgo50,rsi7_prior_day,hist_trades,hist_win_rate,hist_avg_return_pct,hist_profit_factor
V,375.62,1.7939759989929929,0.2047103778472864,1.4489801431387337,56.36098007579832,4,0.75,2.728270422430275,11.758254222222362
KGC,28.04,4.360148375926828,-2.1222496530256203,0.8812470848156198,32.46474302464701,21,0.7142857142857143,2.615797097020252,2.7862410204762753
HPE,55.88,5.096007118107899,0.4303506977497941,1.4867704308570642,49.841000144689936,16,0.6875,1.025342145147614,1.6121090429599865
BVN,33.24,4.692085138419711,-0.8616597912713434,0.3244319507487453,38.79773542282436,12,0.6666666666666666,7.719307379256088,5.911136299768436
SJM,121.7,2.587279858730325,-1.279190456152682,0.410325519266062,27.84548436142784,3,0.6666666666666666,0.20024622330141006,1.3083877781426834
INCY,121.74,2.832543365724336,-1.1916493154311194,-0.0254035400664833,38.45327186595842,17,0.6470588235294118,5.149162180830571,4.930510356267813
WPM,150.02,3.691786664358127,-0.480913487373192,3.4612408769382306,45.43597965447757,18,0.6111111111111112,1.9381824910551497,2.5810697485335865
ROKU,156.62,1.894446508812644,-0.059748393664973,2.1134905411909157,59.13307252438466,15,0.6,0.27668751280115933,1.0722028786513642
MT,73.3,2.8773714927170824,-0.5242536198510976,1.015592664354961,36.02481926299637,9,0.5555555555555556,-1.4081976202207949,0.6614464466277526
KSPI,98.76,3.1315498619494835,-1.5813634040091704,0.9419544212244332,41.55013484118103,4,0.5,-0.97926463766912,0.6233361030640586
ITT,197.99,3.050276749477812,-1.0057687668420348,-0.6290523564089404,44.29257261524859,17,0.47058823529411764,-0.32596757760794814,0.8509763002399431
MHK,128.97,3.2609590588210584,-0.3992795351495479,0.9728321052828433,50.455240271727575,5,0.4,-7.793255905591508,0.1593222022672896
RIO,97.26,2.4311977493276067,-2.158533971756261,-0.1436194076969654,27.23205234531737,5,0.4,-3.754434640131074,0.0990343908531613
SCCO,189.39,4.511641031093231,-1.601227646298809,-0.2736934245133525,31.16934244391697,11,0.36363636363636365,-3.992559853550797,0.24139247335109484
MDLZ,62.1,2.227017635776914,-0.4265517621305121,0.1950862626880163,51.686354045109525,3,0.3333333333333333,-1.33223206931727,0.5085212147185473
SEIC,105.82,1.9574431161517536,-1.5641626963854405,0.7822373066938773,27.676846856756285,6,0.3333333333333333,-1.2756016525206268,0.26411320002355604
WTRG,41.48,2.1092815767210187,0.3485566746406445,1.479204053950697,55.283093802524064,4,0.25,-2.3490406237107497,0.13267800168159682
SLB,54.2,3.186310457540853,-0.7410543066793043,1.3044735031198245,30.250008209618077,5,0.2,-0.7902231588160801,0.34392313566107385
