symbol,close,natr50,hist_trades,win_rate,expectancy_pct,profit_factor
NE,44.26,3.610343795001551,5,0.8,3.515461157449,3.2299567043519777
W,102.46,4.919654456118919,8,0.75,5.371606436223475,3.339831601967921
VIST,72.27,4.12079543192167,18,0.7222222222222222,2.999731449121255,2.593127947062776
LNG,268.34,2.830249845963844,16,0.6875,0.9341994340971611,1.583079635572317
KO,88.25,1.6527529923323163,6,0.6666666666666666,2.6602985959642,6.745465825451603
BVN,34.33,4.549240950006647,12,0.6666666666666666,7.719307379256088,5.911136299768436
B,43.33,3.6445129047428857,12,0.6666666666666666,3.106747166133143,2.520582301833314
YPF,54.96,3.305337876036388,12,0.6666666666666666,4.9078131622967005,2.5118435981338645
SJM,122.95,2.512071058592357,3,0.6666666666666666,0.20024622330141006,1.3083877781426834
MRK,146.87,2.3236533606586423,8,0.625,4.5020231944385145,19.13984846966094
SSRM,36.33,4.48883861826626,13,0.6153846153846154,2.1999937577569915,1.4761545157646767
WPM,151.01,3.7025390949709767,18,0.6111111111111112,1.9381824910551497,2.5810697485335865
FAST,49.01,2.2566598480177635,18,0.6111111111111112,1.3258562678287371,1.9759065234554147
PBF,77.19,4.679166646400229,10,0.6,4.172598343288585,2.2346896261713285
SU,69.41,2.4935204632479677,10,0.6,0.007638346648716002,1.0043890110743663
SM,36.97,3.895434282897505,5,0.6,-1.6866999999432122,0.27092735605473506
ANET,199.39,4.280445090748215,22,0.5909090909090909,2.9720840550236605,2.888859301253319
TFPM,33.14,3.7199342945877194,14,0.5714285714285714,0.6100478641404727,1.2773407280979283
AEM,199.49,3.737796252631093,14,0.5714285714285714,0.32779629082897005,1.1347079478911997
JPM,349.67,1.9111572589057924,14,0.5714285714285714,0.054831268296233665,1.0292262926683386
AU,103.29,4.295295118946744,16,0.5625,0.647984547430582,1.200513043819062
IMO,129.91,2.568593551705537,16,0.5625,-0.21129746612490677,0.9093949963712141
ZBRA,346.63,3.271854762034873,9,0.5555555555555556,1.5149697546573002,1.9914617681658584
RGLD,249.65,3.1726665242553227,11,0.5454545454545454,-0.3551783724025631,0.9085252346841831
ABNB,166.22,2.940731813438862,8,0.5,2.377694316976438,4.488955993401105
CVE,32.62,2.8725046569040567,8,0.5,1.3606773818948086,1.8493135535106744
SKM,35.9,4.047092201893981,6,0.5,1.3257884821077977,1.2851798072727938
KSPI,97.53,3.114146258243489,4,0.5,-0.97926463766912,0.6233361030640586
APA,44.87,3.2992265972331825,4,0.5,-0.8912781603613824,0.57299901125427
COP,131.83,2.493288079085588,4,0.5,-1.5520958172888526,0.34649943793068655
MSI,458.67,2.2612508903901927,2,0.5,-2.68597578784121,0.20047769001515758
HMY,19.92,4.379333437533163,15,0.4666666666666667,1.4920445149269095,1.5152830305601699
IAG,20.35,4.37431597051402,13,0.46153846153846156,-0.339527938280329,0.9304015734410805
FLR,54.9,3.893237450033104,13,0.46153846153846156,-1.6912465592219192,0.5350049674586577
MET,97.04,1.886397435685043,11,0.45454545454545453,1.2606453961547284,2.0953616975066693
HL,18.92,5.480418135642971,7,0.42857142857142855,0.4160814142512519,1.0665070169891286
PAAS,49.99,4.572998202464064,14,0.42857142857142855,-1.1784780164634063,0.7576694952561833
PBR.A,18.82,2.4892895128111747,7,0.42857142857142855,-2.094297414624823,0.4310122317756294
LH,320.71,2.329002588311048,10,0.4,-1.524709006221055,0.3145202001723138
RIO,97.37,2.4320307466262867,5,0.4,-3.754434640131074,0.0990343908531613
SCCO,195.7,4.304692351263759,11,0.36363636363636365,-3.992559853550797,0.24139247335109484
CNH,13.45,3.623486135956007,3,0.3333333333333333,1.08966838210798,1.690060348466851
PBR,20.8,2.708018533754816,6,0.3333333333333333,0.15145637391586336,1.1719605103347723
PFE,27.66,1.9628767961894609,3,0.3333333333333333,0.031958006182766674,1.0276647546439492
TECK,65.52,3.639427224211221,9,0.3333333333333333,-0.3120423472205291,0.9082535567293193
SNOW,332.43,4.215470780665436,12,0.3333333333333333,-2.2799093038796627,0.618654415702893
OVV,62.37,2.997725789889314,6,0.3333333333333333,-2.283117542763668,0.4741599483171522
MDB,383.56,5.407170780377125,7,0.2857142857142857,-2.3258649315857456,0.6371876894403955
DVN,48.61,2.8443168188117456,4,0.25,-1.8481897200080526,0.5157894721592965
FCX,71.54,4.011681454908083,4,0.25,-2.000781344719797,0.20661451827887933
PR,22.76,2.9089045375713374,9,0.2222222222222222,-0.3335446600267024,0.9005418116259651
TGT,158.19,2.624394147940814,6,0.16666666666666666,-1.4063693095700867,0.15597060504789972
EQNR,44.09,2.6230628062383112,3,0.0,-3.2937806687606597,0.0
EOG,144.23,2.6254805747608554,3,0.0,-4.192489349098993,0.0
MICC,18.98,2.304451829425908,1,0.0,-4.57354758961681,0.0
OXY,58.84,2.8129253367938998,4,0.0,-5.3946933290321155,0.0
