date,stop4.0x_target1.0x,stop4.0x_target2.0x,stop4.0x_target3.0x,stop5.0x_target1.0x,stop5.0x_target2.0x,stop5.0x_target3.0x,stop6.0x_target1.0x,stop6.0x_target2.0x,stop6.0x_target3.0x
2023-09-17,0.9951539583548017,0.9927658374859505,0.992166715301129,0.9951539583548017,0.9927658374859505,0.992166715301129,0.9951539583548017,0.9927658374859505,0.992166715301129
2023-09-24,0.9700205435732326,0.9647065099534748,0.9646992946909613,0.9700205435732326,0.9647065099534748,0.9646992946909613,0.9700205435732326,0.9647065099534748,0.9646992946909613
2023-10-01,0.9740632134747292,0.9649126529329177,0.9649229690688904,0.9727591519166976,0.9637646582761865,0.9638095081375516,0.9724020674949511,0.9635137235982042,0.963578276507855
2023-10-08,0.9657046345548786,0.9637544374256793,0.9625662652117905,0.964528563951595,0.9628147943131222,0.9616801754602073,0.9649951540864651,0.9632927620264707,0.9621124196385468
2023-10-15,0.9748004654780474,0.9663614843928361,0.9688287528819514,0.9736133176375027,0.9664276687445957,0.9689488178251752,0.974084302516713,0.9669074299880612,0.9693843290234936
2023-10-22,0.9537451307676044,0.9450889264202427,0.9485715121417005,0.9525836248876646,0.9453122096549036,0.9488506919638879,0.9530444366651719,0.9457814886044149,0.9492771697037645
2023-10-29,0.9344530541305981,0.9260494101110508,0.9307284391376647,0.933315042850764,0.9262681951395968,0.9310023674570556,0.9327600617911795,0.9258672190327081,0.930631263780098
2023-11-05,0.9675785344035499,0.9630817834699239,0.9700262651974216,0.9668273120843965,0.9637205430880907,0.9707259742154385,0.9689367735828158,0.9657693127419117,0.9728230057428091
2023-11-12,0.974255998279041,0.9774176697629621,0.9828479192093591,0.9734995916159609,0.9780659375925933,0.9835568768706962,0.9756236109538231,0.9801452040633014,0.9856816266296866
2023-11-19,0.9731086434913904,0.983718098240037,0.9866987520856219,0.9723531276278616,0.9843705448002366,0.9874104874681271,0.9744746455659269,0.9864632142102291,0.9895435620717511
2023-11-26,0.9833477906087877,0.9934730658448704,0.9964832771233795,0.982584325131279,0.9941319823430228,0.9972020703770491,0.9847281658946788,0.9962454035541041,0.9993562974568696
2023-12-03,0.9850156456786612,0.9981805316767374,1.001793023073057,0.9829552897175423,0.9976165140705682,1.0012850814795258,0.983331171498309,0.9980636042434845,1.0017681776629463
2023-12-10,0.9510398109776746,0.97625465387811,0.9800186263084255,0.9501916950880763,0.9767810303699385,0.9805308760934164,0.9505550480809901,0.9772187829468155,0.9810039588674719
2023-12-17,0.9756398772971406,0.9977311292847983,0.9993884954293133,0.9747698236222994,0.9982690854518035,0.9999108697272738,0.9751425752835127,0.9987164680800346,1.0003933028862817
2023-12-24,0.9914606309108376,1.0170892554093098,1.0202134400655432,0.9905764686441472,1.0176376490809942,1.0207466994356096,0.9909552647612385,1.0180937118927826,1.021239185385772
2023-12-31,0.9914176583731026,1.0166661696094483,1.0220925345539946,0.9905335344283538,1.0172143351619445,1.0226267761153396,0.9909123141274151,1.0176702082620643,1.0231201691576832
2024-01-07,0.973981448843243,0.9988730265196986,1.0045969528529106,0.9731128741175551,0.999411598374279,1.0051220495799391,0.9734849921618208,0.9998594930292182,1.005606997009003
2024-01-14,0.9859440680205535,1.0103774318550236,1.017778093919329,0.9847907903604908,1.0106785072831668,1.0180841495352908,0.9851673740361021,1.0111314512974356,1.0185753508685957
2024-01-21,0.9844651820936832,1.010195093725506,1.0187046176489747,0.9836581860696644,1.010837626885593,1.0193518047224972,0.9840343366377658,1.0112906422106407,1.0198436176692118
2024-01-28,0.9899474371218833,1.0187991481317304,1.0236755275823486,0.9891359471268323,1.0194471538884493,1.0243258726946165,0.9897471581289085,1.0201335237593834,1.0250401642150828
2024-02-04,1.0037963602398854,1.030696136677772,1.0332561904245146,1.0030733551378974,1.0314627506299192,1.0340444825468633,1.0034601315448202,1.031962445096802,1.0345772671749751
2024-02-11,1.01418902980226,1.0396432193362841,1.0433529684770801,1.0124275877803668,1.0395315505651839,1.0432632256254066,1.013224810126114,1.040302062843549,1.0440420031626383
2024-02-18,1.0240888703331115,1.0460553014136849,1.0523391437795533,1.0226177753654855,1.0462497250769118,1.0525334528487287,1.0234230218359681,1.0470252169405014,1.0533191504465442
2024-02-25,1.0353097442575556,1.0541747657124927,1.0597528199659314,1.0332407392319594,1.0543386659651552,1.0599151526097677,1.0335249353157814,1.054668518291588,1.0602737094494366
2024-03-03,1.0450112356979455,1.0667039432700498,1.0722501567845826,1.0429228428179826,1.0668697915254857,1.0724144037670158,1.0432097019945554,1.067203564243964,1.0727771889564564
2024-03-10,1.0560534955445056,1.0674195036926224,1.071001450390421,1.053812647176428,1.0674996755990926,1.0710693462407401,1.054207577040076,1.0679325494855192,1.071530948076065
2024-03-17,1.0466525536933609,1.0594151082316894,1.064116400932504,1.0444316532590712,1.0594946789428077,1.0641838603069553,1.0448230674744126,1.0599243067823334,1.0646424946846127
2024-03-24,1.0704100329020219,1.0879363725083966,1.0931145249183323,1.0681387212823716,1.0880180853989716,1.093183822621093,1.0685390200268248,1.0884592795537746,1.0936549551958799
2024-03-31,1.077266149264962,1.0939898902359793,1.0998088947460234,1.075163982002376,1.0942104139378521,1.0999953413155823,1.0755669135537762,1.094654119097934,1.100469409470163
2024-04-07,1.067356147643468,1.083831859852133,1.0901916113495715,1.0654100540467282,1.0841539456476725,1.0904695687957677,1.065809330187987,1.084593572883787,1.0909395316007802
2024-04-14,1.0385037592258324,1.0502586528640945,1.0564111395521538,1.0363909611389757,1.0503981383324785,1.0565060822411827,1.0372419902010916,1.051267086724958,1.0574070043205874
2024-04-21,1.008770330617097,1.0195074012281677,1.0244273678071698,1.0061782924537406,1.019116474605166,1.0239938167374953,1.0071970130755268,1.020142447588666,1.0250490359824105
2024-04-28,1.0523094061746059,1.0629478529055503,1.0644091907004634,1.0494943760334583,1.06243039746836,1.0638500403947984,1.0505569526874492,1.0634999757862595,1.0649463312297422
2024-05-05,1.0546922940129375,1.0683527895463245,1.0687890855189586,1.0507279323125729,1.0667466107495946,1.067205864636529,1.052253116017735,1.068255283640159,1.068709360103968
2024-05-12,1.0797339320762003,1.0892058009787036,1.0901660011227923,1.076055831594467,1.087903394092604,1.0888831585003222,1.0777807967026063,1.0895868099170805,1.0905646667301083
2024-05-19,1.0930841260397524,1.0998999193003292,1.101442773668816,1.0893605482849706,1.098584725029761,1.100146661209962,1.0911068414426324,1.100284669087924,1.101845563108072
2024-05-26,1.083083925332362,1.0958736159517852,1.098285943373736,1.0793944131394255,1.0945632360929671,1.096993545685339,1.081124730141497,1.0962569573209127,1.0986875783836063
2024-06-02,1.0785861125887175,1.0873560645524079,1.0905311026534144,1.074911922140081,1.0860558694700435,1.08924783040114,1.0766350535107525,1.0877364264449172,1.0909299017756469
2024-06-09,1.0629339766985004,1.071062285003243,1.0740891175088432,1.058632644200611,1.0691840366645393,1.0722258426082136,1.0596481275001814,1.070240025252653,1.0732813516239912
2024-06-16,1.0618700531816354,1.063478400964718,1.0655640618211903,1.0575730260205767,1.0616134519623794,1.063715575751423,1.0585874928914814,1.0626619633989676,1.0647627071819596
2024-06-23,1.0694553705562349,1.067466595687283,1.0699630377552465,1.0696492125434252,1.070107070161263,1.0725483477709579,1.070638860490496,1.0711281431030617,1.0735687853214322
2024-06-30,1.0720169261394903,1.0653464977913214,1.0677230605748187,1.073088149871784,1.068607359789227,1.0708992398204962,1.0734521355191715,1.0690547812018294,1.0713628781959166
2024-07-07,1.075420147072676,1.069715151702382,1.0716467171670057,1.0764947715078326,1.0729893854789063,1.074834568200149,1.0768335183513134,1.0734063367575688,1.075270467205087
2024-07-14,1.1036248564848308,1.0959142614704154,1.0969341928621088,1.1047276647605107,1.0992686866978891,1.1001972671047566,1.1051629433186643,1.099706850488243,1.1006541639930776
2024-07-21,1.0519729265860611,1.047233157883261,1.0515252086604887,1.050279187155052,1.0480913514359123,1.0522309489833015,1.046041445288018,1.0498608100269364,1.0542569921132046
2024-07-28,1.0438327861097783,1.0380508952901473,1.045450237099532,1.0429790384534572,1.0388926103730665,1.0461410674283727,1.0397447635687622,1.0432861608187574,1.0507989644100055
2024-08-04,0.9929849895718399,0.9851295138917326,0.9912007632279685,0.9917577498447572,0.9853327397174833,0.9912420133881299,0.9875728896504828,0.9880468305928288,0.9942436776354815
2024-08-11,0.9922515605505192,0.9756754303638742,0.9795261498851033,0.995138591137588,0.9850608671695624,0.9879284095529587,0.999159725602509,0.9951967497855818,0.9975909969879269
2024-08-18,1.0166390576913416,1.0002817014828904,1.0036157015890117,1.0201548379309875,1.0107074855631593,1.0130056192448387,1.0242770575041131,1.0211072616320593,1.022913478228767
2024-08-25,1.0429709443568302,1.0281982734257835,1.0323318615579562,1.0465777865383825,1.0389150276906578,1.0419904501573258,1.0508067753899344,1.0496050480941155,1.0521817997872074
2024-09-01,1.0537494422850897,1.036543062197906,1.0399518456912151,1.0573935590821928,1.047346792927315,1.0496817275390233,1.061666252073176,1.0581235728250669,1.0599483029033496
2024-09-08,1.0203872757609151,1.004917343858824,1.0048840464195106,1.024276211248378,1.0157050020121179,1.014589249221228,1.0284150843775381,1.02615620052788,1.0245125971443994
2024-09-15,1.0622948578812639,1.0469265436666388,1.0495869575618175,1.0663435130037842,1.0581651651649178,1.0597239025332001,1.070652370774723,1.0690532617891293,1.0700886969516406
2024-09-22,1.0756085823254276,1.060945799081991,1.0640616130145646,1.0797079791777706,1.0723349154800834,1.0743383546790626,1.0840708397941583,1.0833688131717005,1.0848460880192994
2024-09-29,1.0761446875280163,1.0592205408124062,1.0612951575820795,1.08024612760316,1.070591136785359,1.0715451807300385,1.0846111627580493,1.0816070916911573,1.0820255949981217
2024-10-06,1.0696919676352032,1.0518868998634896,1.0534507133343283,1.073686360970833,1.0631038681697504,1.0635492234653547,1.0779093920728071,1.0739322467923913,1.0738447642809628
2024-10-13,1.0777845709396372,1.0611469950151737,1.0632448068746938,1.0819073466733278,1.0725513773019624,1.0735248826795656,1.0861627126168092,1.0834759847212312,1.0839169914812492
2024-10-20,1.096626144318153,1.0829285527145274,1.0858260963538762,1.1008209934360835,1.0945670262365288,1.0963245013394942,1.1051507506742992,1.1057158768265962,1.1069373186888545
2024-10-27,1.0773318059782526,1.0622124699329254,1.0648791454369337,1.0819631689052054,1.073487387638676,1.075045115703344,1.086434003500367,1.0846572061690325,1.0856865540141594
2024-11-03,1.0729102217804243,1.054355297543379,1.0546958423809203,1.078319058657368,1.065970207238999,1.065213222987137,1.0825996176022288,1.0771078606777182,1.0758124003120633
2024-11-10,1.1348997854923548,1.1214340500612765,1.121203046582526,1.1417414120374698,1.135208368357374,1.133481675389004,1.1462508277937535,1.1470322079250788,1.1446881015683976
2024-11-17,1.1131354639578221,1.0972340766942248,1.0972189719585346,1.1206943945086827,1.110810225294742,1.1093797306107087,1.1247018641671358,1.1225523628661842,1.1199835327973742
2024-11-24,1.157058210939284,1.1442067870746528,1.1474141640521487,1.1646471841790282,1.158173451252111,1.159934723274881,1.1691590771247609,1.1707023315461487,1.171276579630652
