total_trades,win_rate,avg_return_per_trade,median_return_per_trade,profit_factor,avg_stop_pct_of_price,avg_target_pct_of_price,portfolio_total_return,portfolio_cagr,portfolio_max_drawdown,portfolio_sharpe_annualized,pct_stopped_out,pct_target_hit,pct_time_exit,stop_mult,target_mult
14549,0.5023712969963572,0.0004428523247596,0.0008302200083023,1.0307086707237034,0.0303720680489222,0.0303720680489222,0.3568782268078427,0.1030683499178108,-0.121044302333184,0.7775433586389986,0.4277269915458107,0.4372121795312392,0.13506082892295,1.0,1.0
13754,0.4298385924094808,0.000590332196481,-0.013488312266848,1.0367060570908238,0.0303249339302032,0.0606498678604065,0.3185173185766332,0.0929467916592015,-0.1392588656949525,0.677683144690771,0.4713537879889486,0.1692598516795114,0.3593863603315399,1.0,2.0
13670,0.4238478419897586,0.0006929951411755,-0.0141209598901611,1.042762709119728,0.0302926044058834,0.0908778132176503,0.3261190024732558,0.0949682269714584,-0.1436655335015912,0.6803801626302386,0.4741038771031455,0.0573518653986832,0.4685442574981712,1.0,3.0
13771,0.5624137680633214,0.0005424370108979,0.0119250425894379,1.034800178556561,0.0454347898462994,0.0302898598975329,0.3317061405497454,0.0964489475479222,-0.1482370426833147,0.689740512116979,0.272020913513906,0.4709171447244209,0.2570619417616731,1.5,1.0
13003,0.4898100438360378,0.000808627140477,-0.0009119729013766,1.046676852192737,0.0453839643920967,0.0605119525227956,0.2841292881826271,0.0837022019589797,-0.182702196555911,0.5983505639434253,0.2960086133969084,0.1799584711220487,0.5240329154810428,1.5,2.0
12930,0.4836040216550657,0.000926842295125,-0.0013549912643148,1.0529767555446072,0.0453388522880128,0.0906777045760257,0.2935400575717128,0.0862486453686275,-0.1901153103565251,0.6066748705447821,0.2983758700696056,0.0618716163959783,0.6397525135344161,1.5,3.0
13460,0.5838781575037147,0.001172028948789,0.0149321770081355,1.075859412334973,0.0605237834481596,0.0302618917240798,0.3313186931867744,0.0963464012290267,-0.1966468109464809,0.6614951154098335,0.1617384843982169,0.4823922734026746,0.3558692421991085,2.0,1.0
12719,0.5112823335167859,0.0013667796811147,0.0012125411397887,1.0792549302323502,0.0604417373514123,0.0604417373514123,0.3646197255159227,0.1050873310076914,-0.1896539584318128,0.695067420459684,0.1755641166758393,0.1832691249312052,0.6411667583929554,2.0,2.0
12644,0.5047453337551407,0.0014806388105003,0.0005898665655951,1.084930652885433,0.0603822869387273,0.090573430408091,0.370704312737333,0.1066687417613565,-0.1956216302867226,0.6956275257422295,0.177317304650427,0.0635874723188864,0.7590952230306864,2.0,3.0
13265,0.5892197512250282,0.0016049479570371,0.0151108890470992,1.1063224845014854,0.09065538981449,0.0302184632714966,0.4151184466447595,0.1180703015188311,-0.1855593908313325,0.776143591936507,0.0531473803241613,0.48450810403317,0.4623445156426686,3.0,1.0
12549,0.5168539325842697,0.0017373059898179,0.0017688679245282,1.1024921590884855,0.0905494367040423,0.0603662911360282,0.4028420633670422,0.114943402427516,-0.2039789280022141,0.729408961325067,0.0592875926368634,0.1842377878715435,0.756474619491593,3.0,2.0
12477,0.5099783601827362,0.0017913033388248,0.0009907120743033,1.1043454556475607,0.0904559375883849,0.0904559375883849,0.4010149555828315,0.1144764370308732,-0.2087169854175526,0.7200226234896685,0.0605113408671956,0.063797387192434,0.8756912719403703,3.0,3.0
13231,0.5904315622401934,0.0018908987866968,0.0152280999790246,1.1274662363951728,0.1207663455667722,0.030191586391693,0.5256439515120137,0.1454261592133958,-0.2007182171607362,0.9024187754404608,0.0168543571914443,0.4856775753911269,0.4974680674174287,4.0,1.0
12518,0.5182936571337274,0.0020377189418405,0.0018365168545785,1.1221190079409389,0.1206341403349782,0.0603170701674891,0.4508069008123425,0.1270571718712114,-0.2033994291171029,0.7921984498620046,0.0200511263780156,0.184614155615913,0.7953347180060713,4.0,2.0
12446,0.5112485939257593,0.0020981328047223,0.0011104384012152,1.1241860028804185,0.1205091719470996,0.0903818789603247,0.4475453806927767,0.1262421440788212,-0.2080393726614769,0.7806036118624133,0.0204081632653061,0.0638759440784187,0.9157158926562752,4.0,3.0
13227,0.5906857186058819,0.0019215453652589,0.0152398027790228,1.1297150123015365,0.150875258431032,0.0301750516862064,0.4995877227451606,0.139101408236542,-0.202959490328799,0.8754675970792676,0.0080139109397444,0.4859756558554471,0.5060104332048083,5.0,1.0
12515,0.5185777067518977,0.0021163492773636,0.0018452616317385,1.1273242901137404,0.1507082938345425,0.060283317533817,0.4698101147161684,0.1317813646106613,-0.1984555033482143,0.8201061358577925,0.0090291650019976,0.1847383140231722,0.8062325209748302,5.0,2.0
12443,0.5115325886040344,0.0021756026185953,0.0011157601115758,1.1292539351245068,0.1505515574230274,0.0903309344538164,0.4647233496987271,0.130520878386273,-0.2031042471594366,0.8057835181135403,0.0091617777063409,0.0638913445310616,0.9269468777625974,5.0,3.0
13219,0.590816249338074,0.0019849273664275,0.0152432294343505,1.1346889897082963,0.1807972247674402,0.0301328707945733,0.5305820332600533,0.1466165247080779,-0.2030769710420704,0.9105337632198968,0.0031772448748014,0.4860428171571223,0.5107799379680763,6.0,1.0
12508,0.5187879756955548,0.0021897554191709,0.0018645057812562,1.1324569449713104,0.180577609199678,0.0601925363998927,0.4827102129085283,0.1349647554108488,-0.1986882620781352,0.8389354924534859,0.0035976974736168,0.1847617524784138,0.8116405500479693,6.0,2.0
12436,0.5118205210678675,0.0022688276415706,0.0011356209068944,1.135606211597694,0.1803986305764617,0.0901993152882308,0.4808284313522288,0.1345015571886623,-0.2033272720371359,0.8277853574001705,0.0036989385654551,0.063927307816018,0.9323737536185268,6.0,3.0
