date,stop1.0x_target1.0x,stop1.0x_target2.0x,stop1.0x_target3.0x,stop1.5x_target1.0x,stop1.5x_target2.0x,stop1.5x_target3.0x,stop2.0x_target1.0x,stop2.0x_target2.0x,stop2.0x_target3.0x,stop3.0x_target1.0x,stop3.0x_target2.0x,stop3.0x_target3.0x
2023-09-17,0.9906131769126008,0.9897289799702816,0.9890344201480508,0.9935031851085876,0.9913177782181047,0.9906957798462008,0.9950617513360175,0.9926906488614793,0.9920925687988316,0.9951539583548017,0.9927658374859505,0.992166715301129
2023-09-24,0.9663725811200203,0.9630320926287268,0.9631004444332772,0.9683811860261788,0.9634583546848648,0.9635052515634301,0.9706155192708066,0.9651012648753358,0.9651341819307226,0.9695848145823321,0.9643094863173028,0.9643085438270653
2023-10-01,0.9716020977308859,0.9655527618472387,0.9645688961499841,0.9754418786849031,0.9649246603860963,0.964546377869084,0.9737213928566901,0.9641192311455841,0.9636760301155977,0.9746407926418176,0.9654457198988228,0.9654679879155509
2023-10-08,0.9533977337105337,0.9550496338908775,0.9548732042184528,0.9597040942094397,0.9589598952538592,0.9572361342183247,0.9622279144959678,0.9618127443705173,0.9600337363267142,0.965972166665289,0.9650569218646532,0.9638956800206911
2023-10-15,0.957098990736036,0.9598450016701306,0.9631302829500391,0.9628909803089272,0.962057353005934,0.9646458941297353,0.9714031433170704,0.9631946485991751,0.9652624639465822,0.9755699886739913,0.9686791658488546,0.9709596795964195
2023-10-22,0.935589964727057,0.9375157950072689,0.9411501164658927,0.944722105854905,0.9426720205390582,0.9464261345834744,0.9476198361081504,0.9394070982791216,0.942381729242278,0.9545564905965674,0.9474161904487015,0.9507160128924992
2023-10-29,0.9195298729656998,0.9149496346629491,0.9164627378795576,0.9278918600493404,0.9226073468582343,0.9254053560693271,0.9322567445697498,0.9230735053036527,0.927154777764034,0.9362345665050363,0.9296311640282291,0.9341015686533983
2023-11-05,0.9510782014672037,0.9501863603241686,0.9535072212262224,0.9573505604988897,0.9564671700249437,0.9618746770705618,0.9607713753839482,0.9553040639045132,0.9618150899660562,0.9697441603955363,0.9671159343693743,0.973853134888812
2023-11-12,0.9552413550422327,0.9611120573881006,0.9637862144048464,0.9624740911173049,0.9705867959127057,0.9748053009928817,0.9629763269964138,0.966789332059058,0.9723632016465968,0.976436569713506,0.9815118707324856,0.9867253718600899
2023-11-19,0.9572852153643137,0.9687207772772376,0.9693935547354122,0.9606466099673171,0.9799534247076291,0.9812071746307757,0.9580151536091716,0.9763783802797041,0.9789629094496204,0.9752866469261924,0.987838690404622,0.9905913967328475
