total_trades,win_rate,avg_return_per_trade,median_return_per_trade,profit_factor,avg_stop_pct_of_price,avg_target_pct_of_price,portfolio_total_return,portfolio_cagr,portfolio_max_drawdown,portfolio_sharpe_annualized,pct_stopped_out,pct_target_hit,pct_time_exit,stop_mult,target_mult
14549,0.5023712969963572,0.00044285232475961404,0.0008302200083023514,1.0307086707237034,0.03037206804892221,0.03037206804892221,0.35687822680784276,0.10306834991781089,-0.12104430233318408,0.7775433586389986,0.42772699154581073,0.43721217953123925,0.13506082892295004,1.0,1.0
13754,0.42983859240948086,0.0005903321964810513,-0.013488312266848046,1.0367060570908238,0.03032493393020327,0.06064986786040654,0.31851731857663323,0.0929467916592015,-0.1392588656949525,0.677683144690771,0.47135378798894867,0.1692598516795114,0.3593863603315399,1.0,2.0
13670,0.4238478419897586,0.0006929951411755772,-0.014120959890161155,1.042762709119728,0.030292604405883435,0.09087781321765033,0.32611900247325587,0.09496822697145846,-0.14366553350159128,0.6803801626302386,0.47410387710314555,0.05735186539868325,0.4685442574981712,1.0,3.0
13771,0.5624137680633214,0.0005424370108979513,0.01192504258943794,1.034800178556561,0.04543478984629949,0.03028985989753299,0.33170614054974545,0.09644894754792221,-0.14823704268331472,0.689740512116979,0.272020913513906,0.4709171447244209,0.2570619417616731,1.5,1.0
13003,0.4898100438360378,0.0008086271404770841,-0.0009119729013766786,1.046676852192737,0.045383964392096715,0.06051195252279562,0.28412928818262717,0.0837022019589797,-0.18270219655591102,0.5983505639434253,0.2960086133969084,0.17995847112204874,0.5240329154810428,1.5,2.0
12930,0.4836040216550657,0.0009268422951250395,-0.0013549912643148199,1.0529767555446072,0.04533885228801287,0.09067770457602574,0.29354005757171286,0.08624864536862753,-0.19011531035652518,0.6066748705447821,0.2983758700696056,0.061871616395978345,0.6397525135344161,1.5,3.0
13460,0.5838781575037147,0.0011720289487890275,0.014932177008135539,1.075859412334973,0.060523783448159695,0.030261891724079847,0.3313186931867744,0.09634640122902671,-0.19664681094648095,0.6614951154098335,0.16173848439821695,0.4823922734026746,0.3558692421991085,2.0,1.0
12719,0.5112823335167859,0.0013667796811147458,0.0012125411397887476,1.0792549302323502,0.060441737351412374,0.060441737351412374,0.3646197255159227,0.10508733100769141,-0.18965395843181287,0.695067420459684,0.1755641166758393,0.18326912493120529,0.6411667583929554,2.0,2.0
12644,0.5047453337551407,0.0014806388105003483,0.0005898665655951207,1.084930652885433,0.06038228693872737,0.09057343040809104,0.37070431273733306,0.10666874176135654,-0.19562163028672264,0.6956275257422295,0.17731730465042708,0.06358747231888642,0.7590952230306864,2.0,3.0
13265,0.5892197512250282,0.0016049479570371442,0.01511088904709923,1.1063224845014854,0.09065538981449,0.030218463271496666,0.4151184466447595,0.11807030151883113,-0.18555939083133255,0.776143591936507,0.053147380324161324,0.48450810403317,0.46234451564266865,3.0,1.0
12549,0.5168539325842697,0.0017373059898179736,0.001768867924528239,1.1024921590884857,0.09054943670404232,0.060366291136028205,0.4028420633670422,0.114943402427516,-0.20397892800221418,0.729408961325067,0.05928759263686349,0.18423778787154355,0.756474619491593,3.0,2.0
12477,0.5099783601827362,0.0017913033388248195,0.000990712074303346,1.1043454556475607,0.09045593758838492,0.09045593758838492,0.4010149555828315,0.11447643703087329,-0.20871698541755268,0.7200226234896685,0.06051134086719564,0.06379738719243408,0.8756912719403703,3.0,3.0
